post_id,content,comment_ids,label_from_content
1,"🗣️ Luis Figo sau World Cup 2022: ""Bạn không thể vô địch World Cup khi để Ronaldo ngồi dự bị.""  🗣️ Jose Mourinho năm 2024: ""Bạn không bao giờ được để Ronaldo ngồi dự bị, miễn là cậu ấy còn chưa giải nghệ thì cậu ấy phải được ra sân.""  Thực tế những gì diễn ra trên sân đã chứng minh hai người đàn ông này nói đúng – và họ là những người chứng kiến điều đó rõ ràng nhất. 💚❤️","post_1_cmt_1,post_1_cmt_2,post_1_cmt_3,post_1_cmt_4,post_1_cmt_5,post_1_cmt_6,post_1_cmt_7,post_1_cmt_8,post_1_cmt_9,post_1_cmt_10,post_1_cmt_11,post_1_cmt_12,post_1_cmt_13,post_1_cmt_14,post_1_cmt_15,post_1_cmt_16,post_1_cmt_17,post_1_cmt_18,post_1_cmt_19,post_1_cmt_20,post_1_cmt_21,post_1_cmt_22,post_1_cmt_23,post_1_cmt_24,post_1_cmt_25,post_1_cmt_26,post_1_cmt_27,post_1_cmt_28,post_1_cmt_29,post_1_cmt_30,post_1_cmt_31,post_1_cmt_32,post_1_cmt_33,post_1_cmt_34,post_1_cmt_35,post_1_cmt_36,post_1_cmt_37,post_1_cmt_38,post_1_cmt_39,post_1_cmt_40,post_1_cmt_41,post_1_cmt_42,post_1_cmt_43,post_1_cmt_44,post_1_cmt_45,post_1_cmt_46,post_1_cmt_47,post_1_cmt_48,post_1_cmt_49,post_1_cmt_50",Thể thao
2,"🇮🇩👨‍🦰 Nhập tịch cho bóng đá nam ✅ 🇮🇩👩‍🦰 Nhập tịch cho bóng đá nữ ✅  Không chỉ làm anh cả, Indo còn chuẩn bị làm chị cả của Đông Nam Á 🙈🙈","post_2_cmt_1,post_2_cmt_2,post_2_cmt_3,post_2_cmt_4,post_2_cmt_5,post_2_cmt_6,post_2_cmt_7,post_2_cmt_8,post_2_cmt_9,post_2_cmt_10,post_2_cmt_11,post_2_cmt_12,post_2_cmt_13,post_2_cmt_14,post_2_cmt_15,post_2_cmt_16,post_2_cmt_17,post_2_cmt_18,post_2_cmt_19,post_2_cmt_20,post_2_cmt_21,post_2_cmt_22,post_2_cmt_23,post_2_cmt_24,post_2_cmt_25,post_2_cmt_26,post_2_cmt_27,post_2_cmt_28,post_2_cmt_29,post_2_cmt_30,post_2_cmt_31,post_2_cmt_32,post_2_cmt_33,post_2_cmt_34,post_2_cmt_35,post_2_cmt_36,post_2_cmt_37,post_2_cmt_38,post_2_cmt_39,post_2_cmt_40,post_2_cmt_41,post_2_cmt_42,post_2_cmt_43,post_2_cmt_44,post_2_cmt_45,post_2_cmt_46,post_2_cmt_47,post_2_cmt_48,post_2_cmt_49,post_2_cmt_50",Thể thao
3,"Đây rồi, con đường nhanh nhất để phát triển bóng đá nước nhà 🐧","post_3_cmt_1,post_3_cmt_2,post_3_cmt_3,post_3_cmt_4,post_3_cmt_5,post_3_cmt_6,post_3_cmt_7,post_3_cmt_8,post_3_cmt_9,post_3_cmt_10,post_3_cmt_11,post_3_cmt_12,post_3_cmt_13,post_3_cmt_14,post_3_cmt_15,post_3_cmt_16,post_3_cmt_17,post_3_cmt_18,post_3_cmt_19,post_3_cmt_20,post_3_cmt_21,post_3_cmt_22,post_3_cmt_23,post_3_cmt_24,post_3_cmt_25,post_3_cmt_26,post_3_cmt_27,post_3_cmt_28,post_3_cmt_29,post_3_cmt_30,post_3_cmt_31,post_3_cmt_32,post_3_cmt_33,post_3_cmt_34,post_3_cmt_35,post_3_cmt_36,post_3_cmt_37,post_3_cmt_38,post_3_cmt_39,post_3_cmt_40,post_3_cmt_41,post_3_cmt_42,post_3_cmt_43,post_3_cmt_44,post_3_cmt_45,post_3_cmt_46,post_3_cmt_47,post_3_cmt_48,post_3_cmt_49,post_3_cmt_50",Thể thao
4,R gì cơ ??? 🐧,"post_4_cmt_1,post_4_cmt_2,post_4_cmt_3,post_4_cmt_4,post_4_cmt_5,post_4_cmt_6,post_4_cmt_7,post_4_cmt_8,post_4_cmt_9,post_4_cmt_10,post_4_cmt_11,post_4_cmt_12,post_4_cmt_13,post_4_cmt_14,post_4_cmt_15,post_4_cmt_16,post_4_cmt_17,post_4_cmt_18,post_4_cmt_19,post_4_cmt_20,post_4_cmt_21,post_4_cmt_22,post_4_cmt_23,post_4_cmt_24,post_4_cmt_25,post_4_cmt_26,post_4_cmt_27,post_4_cmt_28,post_4_cmt_29,post_4_cmt_30,post_4_cmt_31,post_4_cmt_32,post_4_cmt_33,post_4_cmt_34,post_4_cmt_35,post_4_cmt_36,post_4_cmt_37,post_4_cmt_38,post_4_cmt_39,post_4_cmt_40,post_4_cmt_41,post_4_cmt_42,post_4_cmt_43,post_4_cmt_44,post_4_cmt_45,post_4_cmt_46,post_4_cmt_47,post_4_cmt_48,post_4_cmt_49,post_4_cmt_50",Social Slang
5,CHÍNH THỨC: Anh Trung Kevin đã đến Napoli! 👑🇮🇹,"post_5_cmt_1,post_5_cmt_2,post_5_cmt_3,post_5_cmt_4,post_5_cmt_5,post_5_cmt_6,post_5_cmt_7,post_5_cmt_8",Thể thao
6,"❌ Từ chối lời mời tham dự King's Cup, nơi có dịp cọ xát với các đội mạnh ❌ Từ chối lời mời đá giao hữu của Philippines ❌ Không tập trung đội tuyển FIFA Days tháng 9 ❌ Không đá giao hữu chính thức trước thềm 2 trận đấu với Nepal  ✅ Phân công HLV Kim Sang-sik tập trung dẫn dắt đội tuyển U23 Việt Nam dự giải U23 Đông Nam Á và vòng loại U23 châu Á  Đội tuyển nước mình cứ thế thôi hẹ hẹ hẹ 🙈  Ảnh: Tuấn Hữu Phạm","post_6_cmt_1,post_6_cmt_2,post_6_cmt_3,post_6_cmt_4,post_6_cmt_5,post_6_cmt_6,post_6_cmt_7,post_6_cmt_8,post_6_cmt_9,post_6_cmt_10,post_6_cmt_11,post_6_cmt_12,post_6_cmt_13,post_6_cmt_14,post_6_cmt_15,post_6_cmt_16,post_6_cmt_17,post_6_cmt_18,post_6_cmt_19,post_6_cmt_20,post_6_cmt_21,post_6_cmt_22,post_6_cmt_23,post_6_cmt_24,post_6_cmt_25,post_6_cmt_26,post_6_cmt_27,post_6_cmt_28,post_6_cmt_29,post_6_cmt_30,post_6_cmt_31,post_6_cmt_32,post_6_cmt_33,post_6_cmt_34,post_6_cmt_35,post_6_cmt_36,post_6_cmt_37,post_6_cmt_38,post_6_cmt_39,post_6_cmt_40,post_6_cmt_41,post_6_cmt_42,post_6_cmt_43,post_6_cmt_44,post_6_cmt_45,post_6_cmt_46,post_6_cmt_47,post_6_cmt_48,post_6_cmt_49,post_6_cmt_50",Thể thao
7,"Anh Suy, anh Vãi & anh Vực 🐧","post_7_cmt_1,post_7_cmt_2,post_7_cmt_3,post_7_cmt_4,post_7_cmt_5,post_7_cmt_6,post_7_cmt_7,post_7_cmt_9,post_7_cmt_10,post_7_cmt_11,post_7_cmt_12,post_7_cmt_13,post_7_cmt_14,post_7_cmt_15,post_7_cmt_16,post_7_cmt_17,post_7_cmt_18,post_7_cmt_19,post_7_cmt_20,post_7_cmt_21,post_7_cmt_22,post_7_cmt_23,post_7_cmt_24,post_7_cmt_25,post_7_cmt_26,post_7_cmt_27,post_7_cmt_28,post_7_cmt_29,post_7_cmt_30,post_7_cmt_31,post_7_cmt_32,post_7_cmt_33,post_7_cmt_34,post_7_cmt_35,post_7_cmt_36",Social Slang
8,Jürgen Klopp khi thấy Liverpool cấp cho Arne Slot 150 củ để mua Florian Wirtz:,"post_8_cmt_1,post_8_cmt_3,post_8_cmt_4,post_8_cmt_5,post_8_cmt_6,post_8_cmt_7,post_8_cmt_8,post_8_cmt_9,post_8_cmt_10,post_8_cmt_11,post_8_cmt_12,post_8_cmt_13,post_8_cmt_14,post_8_cmt_15,post_8_cmt_16",Thể thao
9,"Chưa đâu, ổng còn cười ông nữa 😂😂😂","post_9_cmt_1,post_9_cmt_2,post_9_cmt_3,post_9_cmt_4,post_9_cmt_5,post_9_cmt_6,post_9_cmt_7,post_9_cmt_8,post_9_cmt_9,post_9_cmt_10,post_9_cmt_11,post_9_cmt_12",Social Slang
10,Cuộc tranh cãi mới ở mùa tới: Cherki vs Wirtz ai ngon hơn? 🙈,"post_10_cmt_1,post_10_cmt_2,post_10_cmt_3,post_10_cmt_4,post_10_cmt_5,post_10_cmt_6,post_10_cmt_7,post_10_cmt_8,post_10_cmt_9,post_10_cmt_10,post_10_cmt_11,post_10_cmt_12,post_10_cmt_13,post_10_cmt_14,post_10_cmt_15,post_10_cmt_16,post_10_cmt_17,post_10_cmt_18,post_10_cmt_19,post_10_cmt_20,post_10_cmt_21,post_10_cmt_22,post_10_cmt_23,post_10_cmt_24,post_10_cmt_25,post_10_cmt_26,post_10_cmt_27,post_10_cmt_28,post_10_cmt_29,post_10_cmt_30,post_10_cmt_31,post_10_cmt_32,post_10_cmt_33,post_10_cmt_34,post_10_cmt_35,post_10_cmt_36,post_10_cmt_37,post_10_cmt_38,post_10_cmt_39,post_10_cmt_40,post_10_cmt_41,post_10_cmt_42,post_10_cmt_43,post_10_cmt_44,post_10_cmt_45,post_10_cmt_46,post_10_cmt_47,post_10_cmt_48,post_10_cmt_49,post_10_cmt_50",Thể thao
