post_id,content,comment_ids,label_from_content
1,"Hướng đi nào cho bóng đá Việt Nam khi Indo & Malay nhập tịch ồ ạt?  Hiện Indonesia & Malaysia đang đi rất nhanh với việc nhập tịch gần 20 cầu thủ châu Âu mỗi nước. Câu hỏi đặt ra: Việt Nam nên chọn lối đi nào?  🔸 Nhập tịch cầu thủ ngoại hoàn toàn như Xuân Son :  Ưu điểm là đội tuyển mạnh ngay lập tức, đủ sức đấu sòng phẳng với các đối thủ khu vực ít nhất về mặt thể chất. V-League đang có sẵn nhiều ngoại binh hoặc ngoại binh đã nhập tịch sẵn là nguồn cung đáp ứng được luôn. Nhưng ngược lại, nhìn đội tuyển toàn cầu thủ dađen, da trắng, người hâm mộ sẽ mất hứng. Đội tuyển mất dần bản sắc, chẳng còn là ""người Việt đá bóng cho người Việt"".  🔸 Nhập tịch Việt kiều: Đây là phương án dễ chấp nhận hơn về mặt tinh thần. Nhưng Việt kiều giỏi thực sự thì ít, mà để mời họ về lại tốn rất nhiều chi phí. Việt kiều chơi ở V-League hiện tại thì chất lượng không vượt trội so với Malay & Indo.   🔸 Đào tạo trẻ bài bản: Đây là hướng đi bền vững nhất. Dù tốn nhiều thời gian nhưng lại tiết kiệm chi phí, xây được lực lượng mạnh và ổn định. Nhìn lại, ta từng thua Philippines khi họ dùng đội hình nhập tịch năm 2010, nhưng đến 2018, nhờ làm trẻ đều đặn, chúng ta đã vượt qua họ hoàn toàn. Đây cũng là cách duy nhất giúp bóng đá Việt Nam có đẳng cấp thực sự trong tương lai.  👉 Chậm mà chắc, hay nhanh mà đánh đổi?  --cỏ-- #trollbongro #ghienbongro #nba #lebronjames #pacers #curry #vba #theanh28 #trollbongrovideo #ghienbongrovideo","post_1_cmt_1,post_1_cmt_2,post_1_cmt_3,post_1_cmt_4,post_1_cmt_5,post_1_cmt_6,post_1_cmt_7,post_1_cmt_8,post_1_cmt_9,post_1_cmt_10,post_1_cmt_11,post_1_cmt_12,post_1_cmt_13,post_1_cmt_14,post_1_cmt_15,post_1_cmt_16,post_1_cmt_17,post_1_cmt_18,post_1_cmt_19,post_1_cmt_20,post_1_cmt_21,post_1_cmt_22,post_1_cmt_23,post_1_cmt_24,post_1_cmt_25,post_1_cmt_26,post_1_cmt_27,post_1_cmt_28,post_1_cmt_29,post_1_cmt_30,post_1_cmt_31,post_1_cmt_32,post_1_cmt_33,post_1_cmt_34,post_1_cmt_35,post_1_cmt_36,post_1_cmt_37,post_1_cmt_38,post_1_cmt_39,post_1_cmt_40,post_1_cmt_41,post_1_cmt_42,post_1_cmt_43,post_1_cmt_44,post_1_cmt_45,post_1_cmt_46,post_1_cmt_47,post_1_cmt_48,post_1_cmt_49,post_1_cmt_50",Thể thao
2,Điểm hay không ta 😝--cỏ--  #trollbongro   #trollbongrovideo   #ghienbongro   #ghienbongrovideo #bongro #nba #curry #LebronJames  #theanh28 #reelsfacebook #reelsvideoシ #reelschallenge #reel #reelsviral,"post_2_cmt_1,post_2_cmt_2",Social Slang
3,"Sau chiến thắng của Malaysia, nhiều người bạn lại so sánh đội tuyển này với tuyển Pháp vô địch World Cup 2018. Vì tuyển Pháp khi đó có tới gần 20 cầu thủ da màu hoặc không phải thuần Pháp.  Nghe thì có vẻ giống nhau, nhưng thực ra rất khác. 20 cầu thủ kia đều sinh ra hoặc lớn lên ở Pháp từ nhỏ. Bố mẹ, ông bà của họ là người nhập cư, nhưng bản thân họ là công dân Pháp ngay từ khi sinh ra hoặc từ bé. Họ trưởng thành trong hệ thống đào tạo bài bản của bóng đá Pháp.  Còn câu chuyện của Malaysia bây giờ lại hoàn toàn khác. Gần 20 cầu thủ mới nhập tịch trong vài năm gần đây, thậm chí có người chỉ kịp nhập tịch ngay trước trận gặp Việt Nam vài ngày. Hầu hết họ sinh ra, lớn lên ở châu Âu, châu Mỹ. Sau này, khi phát hiện ông bà hay bố mẹ có chút dòng máu Malaysia, họ được liên đoàn bóng đá Malaysia mời về thi đấu. Tất nhiên, để mời một cầu thủ châu Âu về đá ở Đông Nam Á, khoản tiề/n chắc chắn không hề nhỏ. Gần như là mua cầu thủ về thi đấu 😆  --cỏ-- #trollbongro #ghienbongro #nba #lebronjames #pacers #curry #vba #theanh28 #trollbongrovideo #ghienbongrovideo","post_3_cmt_1,post_3_cmt_2,post_3_cmt_3,post_3_cmt_4,post_3_cmt_5,post_3_cmt_6,post_3_cmt_7,post_3_cmt_8,post_3_cmt_9,post_3_cmt_10,post_3_cmt_11,post_3_cmt_12,post_3_cmt_13,post_3_cmt_14,post_3_cmt_15,post_3_cmt_16,post_3_cmt_17,post_3_cmt_18,post_3_cmt_19,post_3_cmt_20",Thể thao
4,Cứ trận bí là dí Filip thôi 🥹  Sau nửa năm luyện tiếng Việt chiếm được vị trí của Đình Triệu thì anh gặp ngay cửa ải cầu thủ Âu Mỹ quá hiểm trở .  Nhưng thôi dù sao Filp cũng được bắt chính hai trận ở Asean cup là có đóng góp vào huy chương vàng rồi .   --cún vàng-- #trollbongro #ghienbongro #nba #lebronjames #pacers #curry #vba #theanh28 #trollbongrovideo #ghienbongrovideo,"post_4_cmt_1,post_4_cmt_2,post_4_cmt_3,post_4_cmt_4,post_4_cmt_5,post_4_cmt_6,post_4_cmt_7,post_4_cmt_8,post_4_cmt_9,post_4_cmt_10,post_4_cmt_11,post_4_cmt_12,post_4_cmt_13,post_4_cmt_14,post_4_cmt_15,post_4_cmt_16,post_4_cmt_17,post_4_cmt_18,post_4_cmt_19,post_4_cmt_20,post_4_cmt_21,post_4_cmt_22,post_4_cmt_23,post_4_cmt_24",Thể thao
5,Ném thế này thì khu vui chơi khóc thét rồi bro 😃 --cỏ--  #trollbongro   #trollbongrovideo   #ghienbongro   #ghienbongrovideo #bongro #nba #curry #LebronJames  #theanh28 #reelsfacebook #reelsvideoシ #reelschallenge #reel #reelsviral,"post_5_cmt_1,post_5_cmt_2,post_5_cmt_3",Social Slang
6,"Những chiến thắng huỷ diệt đang diễn ra tại giải bóng rổ học sịnh toàn quốc.   Rất respect tinh thần thi đấu tôn trọng đối thủ không hề nương tay của các đội.  Cũng rất respect đội thua trận đã dám thi đấu dám thất bại. Nhìn từ góc độ nào đó đây cũng là bước tiến với các bạn 🥹  Ảnh: Cent Media , bóng rổ Đà Nẵng  #bongrotv","post_6_cmt_1,post_6_cmt_2,post_6_cmt_3,post_6_cmt_4,post_6_cmt_5,post_6_cmt_6,post_6_cmt_7,post_6_cmt_8,post_6_cmt_9,post_6_cmt_10,post_6_cmt_11,post_6_cmt_12,post_6_cmt_13,post_6_cmt_14,post_6_cmt_15,post_6_cmt_16",Thể thao
7,"ndiana Pacers vs Oklahoma City Thunder  Hôm nay megastar hai đội chơi khá ngang pheo ở thời điểm Q3. Cả hai đều có tầm hai chục điểm nhưng mỗi người một bài tủ: Shai thì câu lỗi liên tùng tục với mấy pha dí bóng vào tay Thomas Bryant, còn Haliburton ngoài gần chục kiến tạo còn có thêm bài steal rồi lên rổ. Tuy nhiên, SGA hôm nay chỉ câu lỗi được phân nửa so với mấy trận trước.  Pacers hôm nay có thêm một kiếm khách: Bennedict Mathurin ghi gần 30 điểm trong hơn hai chục phút — đối trọng trực tiếp với Jalen Williams của OKC. Siakam thì so đọ tay đôi với Haliburton. Xuân Mai Turner thì block liên hoàn trong crunchtime Q4, sau khi bị nhà hiền triết tên Đăng blame.  Những dự đoán về tấm vé chung kết dễ dàng cho OKC giờ đã tan theo mây khói 😀  --cỏ-- #trollbongro #ghienbongro #nba #lebronjames #brunson #pacers #siakam #kobebryant #danangdragons #vba #theanh28 #euro2024 #paris2024","post_7_cmt_1,post_7_cmt_2,post_7_cmt_3,post_7_cmt_4,post_7_cmt_5,post_7_cmt_6,post_7_cmt_7,post_7_cmt_8,post_7_cmt_9,post_7_cmt_10,post_7_cmt_11,post_7_cmt_12,post_7_cmt_13,post_7_cmt_14,post_7_cmt_15,post_7_cmt_16,post_7_cmt_17,post_7_cmt_18,post_7_cmt_19,post_7_cmt_20,post_7_cmt_21,post_7_cmt_22,post_7_cmt_23,post_7_cmt_24,post_7_cmt_25",Thể thao
8,"Sau trận thua hôm qua,  có nhiều ý kiến trách móc: tại sao Việt Nam không nhập tịch rầm rộ như Malaysia hay Indonesia?  Thực ra, làm như họ không đơn giản. Phần lớn các cầu thủ nhập tịch của họ là công dân châu Âu, châu Mỹ. Với họ, Đông Nam Á là một vùng đất xa lạ. Nhiều người chỉ có chút gốc gác từ đời ông bà, tổ tiên, nên cần bỏ ra số tiề//n không nhỏ để thuyết phục về thi đấu. Việt Nam chưa có nguồn tài trợ tài chính mạnh như vậy. Quan trọng hơn, đó không phải là chiến lược bền vững.  👉 Chúng ta chọn con đường đào tạo trẻ. Đi lâu hơn, tốn nhiều thời gian hơn, nhưng khi thành quả đến, nó sẽ tạo ra lối chơi gắn kết như Nhật Bản, Uzbekistan đang làm rất thành công. Hơn nữa đây là cách đầu tư tối ưu hiệu quả tài chí/nh hơn.  Mà thực ra, cầu thủ Việt đẳng cấp cũng không thiếu. Ví dụ như Ibrahim Maza (19 tuổi) — hiện có giá lên tới 12 triệ//u e/uro, gấp gần 5 lần cầu thủ đắt nhất của Malaysia (2,5 triệ//u e/uro). Bố anh là người Algeria. Mẹ là người Việt Nam. Sinh ra và lớn lên ở Đức. 👉 Maza đủ điều kiện khoác áo ba đội tuyển quốc gia: Đức, Algeria và Việt Nam. Tuy nhiên, anh đã chọn Algeria – nơi anh tin là bước đệm tốt hơn để vươn ra sân khấu World Cup.  ảnh: onsport","post_8_cmt_1,post_8_cmt_2,post_8_cmt_3,post_8_cmt_4,post_8_cmt_5,post_8_cmt_6,post_8_cmt_7,post_8_cmt_8,post_8_cmt_9,post_8_cmt_10,post_8_cmt_11,post_8_cmt_12,post_8_cmt_13,post_8_cmt_14,post_8_cmt_15,post_8_cmt_16,post_8_cmt_17,post_8_cmt_18,post_8_cmt_19,post_8_cmt_20,post_8_cmt_21,post_8_cmt_22,post_8_cmt_23,post_8_cmt_24,post_8_cmt_25,post_8_cmt_26,post_8_cmt_27,post_8_cmt_28,post_8_cmt_29,post_8_cmt_30,post_8_cmt_31,post_8_cmt_32,post_8_cmt_33,post_8_cmt_34,post_8_cmt_35,post_8_cmt_36,post_8_cmt_37,post_8_cmt_38,post_8_cmt_39,post_8_cmt_40,post_8_cmt_41,post_8_cmt_42,post_8_cmt_43,post_8_cmt_44,post_8_cmt_45,post_8_cmt_46,post_8_cmt_47,post_8_cmt_48,post_8_cmt_49,post_8_cmt_50",Thể thao
9,"Stephen Curry là vận động viên có thu nhập cao thứ hai của server trái đất🔥  Không có gì ngạc nhiên khi anh Bẩy đứng đầu server 💰 Trong danh sách cũng còn thêm mấy anh em đang cầy ở NBA nữa.  Danh sách cụ thể như sau:  1. Cristiano Ronaldo: $275 tr/iệu us/d 2. Stephen Curry: 156 tr/iệu  3. Tyson Fury : 146 tr/iệu 4. Dak Prescott : 137 tr/iệu  5. Lionel Messi : $135 tr/iệu 6. LeBron James : $133,8 tr/iệu 7. Juan Soto : $114 tri/ệu 8. Karim Benzema : $104 tri/ệu 9. Shohei Ohtani : 102,5 tri/ệu  10. Kevin Durant : $101,4 tr/iệu  --cún vàng-- #trollbongro #ghienbongro #nba #lebronjames #pacers #curry #vba #theanh28 #trollbongrovideo #ghienbongrovideo","post_9_cmt_1,post_9_cmt_2,post_9_cmt_3,post_9_cmt_4,post_9_cmt_5,post_9_cmt_6,post_9_cmt_7,post_9_cmt_8,post_9_cmt_9,post_9_cmt_10",Thể thao
10,Bro làm quả được đấy trứuuuuuu 😃 --cỏ-- #trollbongro   #trollbongrovideo   #ghienbongro   #ghienbongrovideo #bongro #nba #curry #LebronJames  #theanh28 #reelsfacebook #reelsvideoシ #reelschallenge #reel #reelsviral,"post_10_cmt_1,post_10_cmt_2,post_10_cmt_3,post_10_cmt_4",Social Slang
