post_id,cmt_id,comment
1,post_1_cmt_1,"Được cái mèo nhà mình ghét ăn catsra** 🥹
https://thanhnien.vn/hung-yen-phat-hien-duong-day-lam-gia-thuc-an-meo-18525061317102059.htm"
1,post_1_cmt_2,"Sợ thật bây giờ cái gì cũng giả, chỉ mỗi tình yêu a dành cho e là thật thôi:))"
1,post_1_cmt_3,"Đến em bé, ng già, ng bị bệnh lâu năm chúng nó còn ko tha thì c h ó moè có là gì 🫠🫠"
1,post_1_cmt_4,"Xưa nuôi mèo cho ăn cat rang, đýt chỉ thua mỗi vòi nước....thế là mua phải hàng đểu à 🤔"
1,post_1_cmt_5,"May mà xưa nay vẫn giữ thói quen nuôi chó mèo của mẹ. Mình ăn gì nó ăn nấy, cơm trộn canh rau đay hay mồng tơi cũng ăn. Rau bắp cải luộc, cà rốt nhai cũng ổn. Cũng đã từng mua hạt nhưng là canin mà ăn nó cũng toé nên giờ tiện đi chợ là mua đồ tươi nấu cho ẻm riêng luôn"
1,post_1_cmt_6,người với nhau chúng nó còn ko nghĩ tới thì mèo chó có nghĩa gì đâu.🤨🤨
1,post_1_cmt_7,Huhu kb royal canin con toi ăn có bị pha ke ko nứa :(((
1,post_1_cmt_8,từ nay yên tâm mua hàng ròi
1,post_1_cmt_9,Thương quá chó mèo chẳng tha 😌
1,post_1_cmt_10,Đồ của hoàng thượng mà dám làm giả à! Bay đâu ban dây thừng🥴🥴🥴🥴
1,post_1_cmt_11,Mèo nhà mềnh toàn ăn catsrang. Kb làm giả là cno trộn gì thành hạt vậy nhjr
1,post_1_cmt_12,Khốn nạn thật sự luôn
1,post_1_cmt_13,Mèo nhà t toàn ăn cơm vs cá nên ko sao hẹ hẹ
1,post_1_cmt_14,Chúng sinh trên cõi này đều ko thoát nổi hàng giả. Nam mô à Trần Mạnh Cường
1,post_1_cmt_15,Thuốc chuột và diệt cỏ còn giá được nói gì đồ ăn 🤣🥲
1,post_1_cmt_16,"Douma, mèo sỏi thận nhìu là do lũ nàyy"
1,post_1_cmt_17,"sợ thật giờ cái gì cũng giả, có khi răng giả của mình là răng thật k nhi"
1,post_1_cmt_18,mèo nhà t ăn gì cũng ok chỉ riêng mỗi lần ăn catrang là ẻ chảy 🥲
1,post_1_cmt_19,Mèo cungz deo tha
1,post_1_cmt_20,"Con mồn lèo nhà mình cũng ăn hạt fake bị bí tiểu xong suy thận cmnl, nghĩ mà xót cho nó."
1,post_1_cmt_21,May quá mèo nhà t cho ăn cơm 😅
1,post_1_cmt_22,May quá mèo nhà chỉ ăn cơm với cá và rau muống
1,post_1_cmt_23,Trời xanh có thấu 5 con mèo nhà t ăn cat rang mấy năm nay 😅
1,post_1_cmt_24,Check xem cát ẻ mèo có giả ko
1,post_1_cmt_25,huhu ngoài catsrang ra kb còn loại nào nữa k :(((
1,post_1_cmt_26,Mèo nhà mình ko ăn hạt này😣
1,post_1_cmt_27,Hoan hô VN
1,post_1_cmt_28,Nguyen Thảo Nguyễn Thị Quỳnh Hoa catstrang này :)))
1,post_1_cmt_29,Mèo nhà t ăn mấy chục bao 5kg như này rồi mà ko biết có trúng hàng giả ko 🥲
1,post_1_cmt_30,"Cái đm, chuột k tha, mèo k thương, hết giả thuốc chuột đến giả thức ăn mèo. Matday vl"
1,post_1_cmt_31,"Đến thức ăn cho chó mèo còn làm giả đc, bó tay"
1,post_1_cmt_32,mèo cũng là con người mà🥹
1,post_1_cmt_33,"Bực hết cả chó 🫠 
May là Bun nhà t ko ăn hạt =))))"
1,post_1_cmt_34,Ác nhơn con mèo cũng ko tha😡
1,post_1_cmt_35,"Thuốc chữa ung thư còn giả mà... cái gì chưa khui thì vẫn tiếp tục ""giả"" thôi. thế nên là tao ko cho con nhà tao ăn đồ ăn linh tinh. Người ăn vào mồm còn lẫn lộn nữa là chó mèo."
1,post_1_cmt_36,"Đào Trần Đức mèo cũng khộ, may mà con Cam k ăn hạt này ạ"
1,post_1_cmt_37,Mua shopmall chắc đỡ hơn nhỉ
1,post_1_cmt_38,Giờ cái gì cũng giả được
1,post_1_cmt_39,Đkm dám phạm thượng à 🤣
1,post_1_cmt_40,nhà mình hay cho ăn cateye
1,post_1_cmt_41,Flower Mai người không tha mà chó mèo cũng không thương
1,post_1_cmt_42,Thời đại công nghệ cl gì cũng thấy giả 🤦‍♂️
1,post_1_cmt_43,Mèo nhà tao từng ăn hạt này dkmmmmmmmmmm
1,post_1_cmt_44,Khổ mèo chó cug k tha. 😒
1,post_1_cmt_45,Ng còn k thương nữa là
1,post_1_cmt_46,Lan Anh mua cẩn thận
1,post_1_cmt_47,Đàn con cháu t 1 tháng 3 bịch Catsrang đấy 😭😭😭.
1,post_1_cmt_48,Hoàng Nịnh  bọn này mất hết thú tính rồi 🙃
1,post_1_cmt_49,"Hà Hương dám làm giả đồ ăn của Hoàng Thượng, thật là tội tày đình, Trời ko dung đất ko tha"
1,post_1_cmt_50,May quá :))) đc cái mèo nhà chỉ ăn pate ko thích ăn hạt:)))
